w,d,d,d,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
r,s,e,e,f,f,d,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
w,f,e,f,f,f,e,c,e,e,e,e,e,e,e,e,e,l,f,f,f,f,f,f,w
w,f,e,f,f,f,e,f,f,d,f,f,f,f,d,f,e,f,f,f,f,f,f,f,w
w,f,e,d,f,r,e,e,e,e,f,r,e,c,e,f,e,f,d,f,f,f,d,f,w
w,r,e,e,f,f,e,f,f,e,f,f,e,f,e,r,e,e,e,r,e,e,e,f,w
w,f,f,e,d,f,e,f,f,e,f,f,e,f,e,f,e,r,e,e,e,f,e,f,w
w,f,r,e,e,f,e,f,f,e,f,f,e,r,e,e,e,f,f,f,u,f,e,f,w
w,f,f,r,e,e,e,f,r,e,e,e,e,f,e,f,u,f,f,f,f,f,e,f,w
w,f,f,f,e,f,u,f,f,f,f,f,u,f,e,f,f,f,f,f,f,f,e,f,w
w,f,f,f,e,f,f,f,f,f,f,f,f,f,e,f,d,f,f,f,f,f,e,f,w
w,f,f,r,e,e,e,e,e,e,e,e,e,e,e,f,e,c,l,d,f,f,e,f,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,u,r,e,e,e,e,f,d,e,f,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,d,f,f,e,r,e,e,e,e,l,w
w,f,f,f,w,f,f,f,f,w,f,f,f,f,e,e,l,e,d,f,d,e,e,f,w
w,f,f,f,w,f,f,f,f,w,f,f,f,r,e,e,e,e,e,f,e,e,l,f,w
w,f,f,f,w,f,f,f,f,w,f,f,f,f,e,e,e,e,e,e,e,l,f,f,w
w,f,f,f,w,f,f,f,f,w,f,f,f,f,f,u,f,u,e,f,f,f,f,f,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,e,f,f,d,d,d,w
w,f,w,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,e,r,e,e,e,e,w
w,f,f,w,f,f,f,f,f,f,w,f,f,f,f,f,f,f,e,d,e,e,e,e,w
w,f,f,f,w,w,w,w,w,w,f,f,f,f,f,f,f,r,e,e,e,f,e,f,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,r,e,e,r,e,g,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,u,f,f,f,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
